reference_id,title,publisher,reference_type,url,accessed_on,use_note
VIGIL-REF-000001,AI Incident Tracker: Harm Taxonomy,MIT FutureTech,methodology,https://airisk.mit.edu/ai-incident-tracker/harm-taxonomy,2026-09-16,Direction-of-scale and harm-context reference: 1 is Negligible and 5 is Catastrophic. VIGIL does not adopt MIT ratings or categories as incident determinations.
VIGIL-REF-000002,AI Incident Tracker,MIT FutureTech,dataset-methodology,https://airisk.mit.edu/ai-incident-tracker,2026-09-16,Reference for report-level harm review and the tracker relationship to CSET-derived harm categories.
VIGIL-REF-000003,AI Incident Tracker June 2026 Update,MIT FutureTech,methodology-note,https://airisk.mit.edu/blog/ai-incident-tracker-june-2026-update,2026-09-16,"Reference for evidence-bounded reviewer practice, including rating from the raw report and recognising incomplete-report disagreement."
VIGIL-REF-000004,Adding Structure to AI Harm: An Introduction to CSET's AI Harm Framework,"Center for Security and Emerging Technology, Georgetown University",taxonomy-research,https://cset.georgetown.edu/wp-content/uploads/20230022-Adding-structure-to-AI-Harm-FINAL.pdf,2026-09-16,Harm-category and consequence-context reference. VIGIL retains its own operational dimensions and thresholds.
VIGIL-REF-000005,Federal Incident Notification Guidelines,Cybersecurity and Infrastructure Security Agency,government-guidance,https://www.cisa.gov/federal-incident-notification-guidelines,2026-09-16,Reference for separating functional impact from recoverability and assessing business or service impact.
VIGIL-REF-000006,CISA National Cyber Incident Scoring System,Cybersecurity and Infrastructure Security Agency,government-methodology,https://www.cisa.gov/news-events/news/cisa-national-cyber-incident-scoring-system-nciss,2026-09-16,"Reference for actual functional impact, information impact, recoverability and cross-sector scope."
VIGIL-REF-000007,Contingency Planning Guide for Federal Information Systems (SP 800-34 Rev. 1),National Institute of Standards and Technology,government-standard,https://csrc.nist.gov/pubs/sp/800/34/r1/final,2026-09-16,Reference for recovery-time objective and maximum-tolerable-downtime concepts; VIGIL uses evidenced organisational limits when available.
VIGIL-REF-000008,Commission Implementing Regulation (EU) 2024/2690,European Commission,regulation,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=OJ:L_202402690,2026-09-16,Sector-specific operational thresholds inform VIGIL service-impact anchors; they are not universal automatic severity assignments.
VIGIL-REF-000009,Commission Delegated Regulation (EU) 2024/1772,European Commission,regulation,https://eur-lex.europa.eu/eli/reg_del/2024/1772/oj/eng,2026-09-16,"DORA materiality indicators inform operational, duration, client-scope and loss anchors without making VIGIL equivalent to DORA classification."
VIGIL-REF-000010,Cyber Incident Management Arrangements for Australian Governments,"Australian Signals Directorate, Australian Cyber Security Centre",government-guidance,https://www.cyber.gov.au/business-government/detecting-responding-to-threats/cyber-security-incident-response/cyber-incident-management-arrangements-for-australian-governments,2026-09-16,"Reference for consequence, national coordination, cross-jurisdiction and critical-infrastructure context."
