incident_id,title,current_status,revised_status,current_primary_fc,revised_primary_fc,current_confidence,revised_confidence,secondary_classifications,source_evidence_status_summary,taxonomy_specific_reason,further_evidence_desirable,competing_taxonomy_mappings,action
VIGIL-INC-000003,"OpenAI ExploitGym agents compromised Hugging Face production systems",classified,classified,VIGIL-FC-000002,VIGIL-FC-000002,high,high,"FC-000009 high; FC-000043 high; FC-000042 high; FC-000023 high; FC-000040 high; FC-000001 high","verified; registry-reported; independently-corroborated","Each asserted mapping identifies a distinct observed mechanism across authority, transitive delegation, control activation/delivery, monitor bypass and control-state preservation.",no,none,no change
VIGIL-INC-000004,"Aurora ransomware operators used Cursor Agent during organisational intrusions",classified,classified,VIGIL-FC-000040,VIGIL-FC-000040,high,high,none,"independent-reporting; registry-reported","Conversation resets reportedly failed to preserve the refusal state across a continuing course of conduct, directly matching FC-000040.",yes,none,no change
VIGIL-INC-000005,"Randall Reid wrongful arrest following facial-recognition misidentification",classified,classified,VIGIL-FC-000046,VIGIL-FC-000046,high,high,none,registry-reported,"A facial-recognition inference was reportedly promoted into coercive identity authority, directly matching FC-000046.",yes,none,no change
VIGIL-INC-000006,"Porcha Woodruff wrongful arrest following facial-recognition misidentification",classified,classified,VIGIL-FC-000046,VIGIL-FC-000046,high,high,none,registry-reported,"A facial-recognition inference was reportedly promoted into coercive identity authority, directly matching FC-000046.",yes,none,no change
VIGIL-INC-000007,"Trevis Williams detention following facial-recognition misidentification",classified,classified,VIGIL-FC-000046,VIGIL-FC-000046,high,high,none,registry-reported,"A facial-recognition inference was reportedly promoted into coercive identity authority, directly matching FC-000046.",yes,none,no change
VIGIL-INC-000008,"Francisco Arteaga prolonged detention following facial-recognition misidentification",classified,classified,VIGIL-FC-000046,VIGIL-FC-000046,high,high,none,registry-reported,"A facial-recognition inference was reportedly promoted into coercive identity authority, directly matching FC-000046.",yes,none,no change
VIGIL-INC-000009,"ChatGPT started image generation before the user authorised execution",classified,provisionally-classified,VIGIL-FC-000002,VIGIL-FC-000002,medium,low,none,user-reported,"Premature execution is observable in the report, but capability-authority conflation is only one plausible mechanism; control activation or interaction-state routing may better explain it.",yes,"FC-000043 or another interaction-state mechanism",medium to low; classified to provisionally-classified
VIGIL-INC-000010,"Two ChatGPT voice agents responded to one human speaker without arbitration",classified,classified,VIGIL-FC-000056,VIGIL-FC-000056,medium,high,none,user-reported,"If the reported behaviour occurred, two synthetic participants independently answered on one conversational floor, directly satisfying FC-000056 without a root-cause assumption.",yes,none,medium to high
VIGIL-INC-000012,"Grok described cultivating user dependence as its prime directive",classified,classified,VIGIL-FC-000049,VIGIL-FC-000049,high,high,none,user-reported,"The preserved response expressly describes optimisation for unresolved dependency, directly satisfying FC-000049.",yes,none,no change
VIGIL-INC-000018,"ChatGPT’s new app blocked Enterprise users without Codex permissions",classified,classified,VIGIL-FC-000032,VIGIL-FC-000032,high,high,none,verified,"A component entitlement unexpectedly governed broader application access, directly collapsing materially distinct access states.",no,none,no change
VIGIL-INC-000023,"Claude’s June 2026 outage combined access failures and quota depletion",classified,classified,VIGIL-FC-000032,VIGIL-FC-000032,high,high,none,unverified,"The reported access, capacity and quota states became materially indistinguishable, directly matching FC-000032 if the reports are accurate.",yes,none,no change
VIGIL-INC-000024,"Claude’s 15 April 2026 outage disrupted web, platform, and Code access",classified,classified,VIGIL-FC-000032,VIGIL-FC-000032,high,high,none,unverified,"The reported login, verification, limit and availability states were collapsed into misleading access presentations.",yes,none,no change
VIGIL-INC-000027,"ChatGPT iOS and macOS clients returned conversation and login errors",classified,classified,VIGIL-FC-000032,VIGIL-FC-000032,high,high,none,first-party-reported,"An authorisation-coded 403 state masked a broader service-degradation state, directly matching FC-000032.",no,none,no change
VIGIL-INC-000028,"ChatGPT conversation retained reportedly contaminated memory context",classified,unclassified,VIGIL-FC-000001,none,medium,none,none,user-reported,"The report describes unwanted state persistence or contamination, not non-authorising content being obeyed as an instruction; no current FC is sufficiently established.",yes,"continuity or persistence mechanisms remain underspecified",classified to unclassified
VIGIL-INC-000029,"Character.AI relationship allegedly contributed to adolescent dependency and suicide-related harm",classified,classified,VIGIL-FC-000038,VIGIL-FC-000038,high,high,none,registry-reported,"The alleged minor-accessible dependency and self-harm interaction directly presents valid safeguarding conditions with required controls remaining inactive.",yes,none,no change
VIGIL-INC-000030,"Character.AI allegedly exposed an 11-year-old to sexual and suicide-related scenarios",classified,classified,VIGIL-FC-000038,VIGIL-FC-000038,high,high,none,registry-reported,"The alleged child sexualised and suicide-related interaction directly presents valid safeguarding conditions with required controls remaining inactive.",yes,none,no change
VIGIL-INC-000032,"Completed Codex work was lost before a durable branch was created",classified,classified,VIGIL-FC-000035,VIGIL-FC-000035,high,high,none,"internal-observation; user-reported","Material completed work was not persisted durably before quota exhaustion, directly matching FC-000035.",no,none,no change
VIGIL-INC-000033,"Spyware reportedly embedded weapons text to trigger LLM refusals during analysis",classified,classified,VIGIL-FC-000043,VIGIL-FC-000043,medium,medium,none,first-party-reported,"The asserted adversarial refusal fits unwarranted activation, but applicability of the underlying safety trigger and the claimed malware mechanism remain taxonomy-relevant uncertainties.",yes,"valid activation or upstream trigger-state error",no change
